Facility Code,Facility Name,County,District,Division,Type,Type_grouped,Owner,Beds,Cots,log_beds,log_cots,Open 24 Hours,Open Weekends,ART,C-IMCI,FP,HBC,IPD
19310, St Jude's Huruma Community Health Services,Nairobi,Mathare,Huruma,Medical Clinic,Medical Clinic,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13043,7Kr Mrs Health Centre,Nairobi,Langata,Lang'ata,Health Centre,Health Centre,Armed Forces,14.0,0.0,2.70805020110221,0.0,1,1,0,1,1,1,1
20346,AAR Adams Health Centre,Nairobi,Kibra,Woodly,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
12861,AAR City Centre Clinic,Nairobi,Starehe,Starehe,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,1,0,1
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Westlands,Parklands,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19958,AAR Gwh Health Care Ltd,Nairobi,Dagoretti North,Kilimani,Health Centre,Health Centre,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
20405,AAR Health Care,Nairobi,Embakasi East,Embakasi,Health Centre,Health Centre,Private Practice - Medical Specialist,6.0,2.0,1.9459101490553132,1.0986122886681098,0,1,0,0,0,0,0
18859,AAR Healthcare Limited (Karen),Nairobi,Langata,Lang'ata,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
20140,AAR Mountain mall,Nairobi,Roysambu,Roysambu,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
21224,AAR Outpatient Center Donholm,Nairobi,Embakasi East,Embakasi East,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,4.0,2.0,1.6094379124341003,1.0986122886681098,0,1,0,0,0,0,0
12865,Afwan Medical Centre,Nairobi,Kamukunji,Pumwani,Nursing Home,Nursing Home,Private Enterprise (Institution),40.0,4.0,3.713572066704308,1.6094379124341003,1,1,0,0,1,0,1
19515,Afya Bora Health Care,Nairobi,Westlands,Kangemi,Medical Clinic,Medical Clinic,Non-Governmental Organizations,12.0,1.0,2.5649493574615367,0.6931471805599453,1,1,0,0,0,0,0
19551,Afya Bora Medical Clinic (Westlands),Nairobi,Westlands,Kangemi,Medical Clinic,Medical Clinic,Private Enterprise (Institution),1.0,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0
18486,Afya Health Care,Nairobi,Roysambu,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19356,Alphine Dental Centre (Kencom Hse),Nairobi,Starehe,Central,Dental Clinic,Other,Private Practice - Unspecified,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19462,Avenue Health Care (Makadara),Nairobi,Makadara,Viwandani,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
12874,Avenue Hospital,Nairobi,Westlands,Parklands,Other Hospital,Other Hospital,Private Enterprise (Institution),65.0,10.0,4.189654742026425,2.3978952727983707,1,1,0,1,1,1,1
12881,Baraka Dispensary (Nairobi),Nairobi,Ruaraka,Kasarani,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
19529,Baraka Medical Cenre,Nairobi,Westlands,kangemi,Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18622,Skyhill Medical Centre,Nairobi,Dagoretti North,Kawangware,Health Centre,Health Centre,Private Practice - Medical Specialist,10.0,2.0,2.3978952727983707,1.0986122886681098,1,1,0,0,0,0,0
19639,Skylit Medical Clinic,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Medical Clinic,Private Enterprise (Institution),3.0,1.0,1.3862943611198906,0.6931471805599453,0,1,0,0,0,0,0
18000,Skymed Medical Clinic Githunguri,Nairobi,Kasarani,Ruai,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19994,Slum Medical Clinic,Nairobi,Kibra,Kibra,Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19552,Smiles Medical Centre,Nairobi,Westlands,,Medical Clinic,Medical Clinic,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19393,Social Service League (Nairobi ),Nairobi,Starehe,Central,Dispensary,Dispensary,Private Enterprise (Institution),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
19331,Soin Health Care - Mfangano Street),Nairobi,Starehe,Central,Medical Clinic,Medical Clinic,Private Practice - General Practitioner,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
13188,Sokoni Arcade VCT,Nairobi,Dagoretti North,Dagoretti,VCT Centre (Stand-Alone),VCT Centre (Stand-Alone),Non-Governmental Organizations,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
