Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1976,1976,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1977,1977,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1978,1978,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1979,1979,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1980,1980,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1981,1981,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1982,1982,tonnes,10,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1983,1983,tonnes,20,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1984,1984,tonnes,35,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1985,1985,tonnes,40,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1986,1986,tonnes,70,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1987,1987,tonnes,40,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1988,1988,tonnes,40,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1989,1989,tonnes,40,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1990,1990,tonnes,38,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1991,1991,tonnes,28.49,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1992,1992,tonnes,29.25,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1993,1993,tonnes,30.01,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1994,1994,tonnes,30.77,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1995,1995,tonnes,31.53,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1996,1996,tonnes,32.29,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1997,1997,tonnes,33.05,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1998,1998,tonnes,32.18,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",1999,1999,tonnes,32.75,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2000,2000,tonnes,30,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2001,2001,tonnes,33.54,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2002,2002,tonnes,34.53,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2003,2003,tonnes,35.52,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2004,2004,tonnes,36.52,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2005,2005,tonnes,37.53,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2006,2006,tonnes,38.55,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2007,2007,tonnes,39.59,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2008,2008,tonnes,40.64,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2009,2009,tonnes,41.72,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2010,2010,tonnes,42.82,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2011,2011,tonnes,43.94,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2012,2012,tonnes,45,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2013,2013,tonnes,50,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2014,2014,tonnes,50.79,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2015,2015,tonnes,48.32,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2016,2016,tonnes,47.58,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2017,2017,tonnes,47.67,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2018,2018,tonnes,50.4,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2019,2019,tonnes,50.81,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2020,2020,tonnes,51.48,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1929.07,"Abaca, manila hemp, raw",2021,2021,tonnes,52.16,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,tonnes,1360,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1969,tonnes,400,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1970,tonnes,600,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1971,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1972,tonnes,300,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1973,1973,tonnes,800,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1974,1974,tonnes,700,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1975,1975,tonnes,400,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,1976,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,1977,tonnes,400,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,1978,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,1979,tonnes,200,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,1980,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,1981,tonnes,80,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,1982,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,1983,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,1984,tonnes,50,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,1985,tonnes,50,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1986,tonnes,100,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1987,tonnes,200,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1988,tonnes,100,E,Estimated value
